,大吉,吉,小吉,凶,大凶,,ラッキーアイテム,ラッキーアイテムimg,作者(省略は全部kariumi)
,今日であればあなたの思いが届くかもしれません…,お、100円玉拾った！,う～ん、微妙！！,え、、レポート課題忘れてない？今日までだよ（絶望）,多分、今日出かけたら終電逃すよ,,龍角散,ryuukakusan.png,
,通帳見てみな！4630万円入金されてない？？,財布に入ってるクーポン券、今日までだよ！,課題やった？,こういう日もあるよ。。,明日テストあるよ！！,,理科大の水,rikadainomizu.png,
,明日からあなたが教授です,今日は猫に会えます,笑う門には福来る！笑吉！！(笑),今日パソコンが壊れます,お前はもう留年している,,apple pencil,applePencil.png,
,あなた以外の全員が留年します,この先1か月口内炎ができません,USBの向きを間違えずに差せます,昨日はしゃぎ過ぎた皆さん！！レスキュー開始！！！！,寝室に蚊が入ります,,四つ葉のクローバー,clover.png,
,今ならコピレポしてもばれない,体内の病原菌が全部死滅します,乳酸菌が腸まで届きます,「どこからでも切れます」が全く切れない,書き途中のレポートデータが消えます,,虚無,kyomu.png,
,領域展開できるようになります,何かよくわかんないけど楽しい日になります,何も起こりません,手荒れが悪化します,GPA = GPA - 1;,,モバイルバッテリー,mobile_battery.png,
,GPA *= 2;,ガチャ運が上がります,信号運が上がります,おしりにおできができます,あ！USBが壊れてデータが飛んた！,,正八面体,seihachimentai.png,
,何をやっても楽しいです,wordle一発で当たります,Windows Updateから解放されます,あなたが外出する瞬間だけ雨が降ります,逡吝ｹｴ縺励∪縺?,,バッグクロージャー,bag_closure.png,
,SNSにUPした作品がバズります,断線したイヤホンが復活します,てんどんまん,カラスに食品を盗まれます,次のテスト日に絶起します,,バラン,baran.png,
,今自宅のドアがどこでもドアになってます,水の呼吸が使えます,再レポの確率が下がります,続きはpixiv FANBOXで！,終焉,,三角フラスコ,flask.png,
,botが精一杯の愛をお届けします。,教授と仲良しになれます,It's Pikachu!!!!!!!!!!!!!!!!!!,頭痛・肩こり・めまい・吐き気・関節の痛みなど,オ　フ　会　0　人,,Linux,linux.png,
,データなんかねえよ,糖質20%OFF,朝起きたら猫になってます。にゃあ！,買うもの全部ステルス値上げされてます,お腹を壊します,,2000円札,2000yen.png,
,何食べても太りません,血行改善・肩こりの軽減・腸内環境の改善など,小学生の時なくした消しゴムが見つかります,参考書から物理攻撃を喰らいます,通信障害で遅レポになります,,ダイヤのキング,diamond_king.png,
,不眠不休で働ける身体になります,何かよくわかんないけどS評価になります,おみくじ有料プランにご登録いただくと、なんと大吉の確率が増,学校に充電器忘れてない？？,(1)の計算ミスで大問1つ飛んだ！,,クローバーのキング,club_king.png,
,空飛べます,顔パスで生協安く買えます,花粉症が軽減されます,転びます,お前のせいだよ　あーあ,,頭蓋骨,skull.png,
,おめでとう！君が来年の幹事だよ^^,お米におこげが付いてきます,Joy-Conドリフトが直ります,Caps Lockをまちgaeteosimakurimasu,この年で中二病を発症,,トモダチコレクション,tomokore.png,signum
,講義棟をつまめるぐらいには巨大化します,あっ　授業が休講になった...,ねえ、今から晴れるよ,鳩の大群に襲われます,https://www.youtube.com/watch?v=dQw4w9WgXcQ,,ペアギター,guitar.png,
,念じるだけでレポートが書き上がります,やる気出ろ、と思うと、やる気が出ます,テストがレポート課題に化けた！,変な実験データが出ます,夢ならばどれほど良かったでしょう,,王冠,crown.png,
,第3成長期が来ます！！！,単位　視聴者プレゼント,何かの反応速度が増加します,原因不明の垢BAN喰らった！,ゴキブリと邂逅します,,いちご,strawberry.png,
,HUNTER×HUNTER連載再開,推しの限定が10連で出ます,野良猫が近所に住み着きます,グループワークは、なんだかんだいってあなたが9割方の仕事をやる流れになります,寝るとき鼻水が止まらなくなります,,クマムシ,kumamushi.png,signum
,レポートのない世界に異世界転生　～取る科目全部S評価～,あっ、これ進研ゼミでやったところだ！,あなたがたけのこ派の場合、きのこ派になります,深爪になります,過去問入手失敗,,北海道,hokkaido.png,
,ガリガリ君全部当たります,やるな笑笑,ちょっと背が伸びるか、縮みます,創作勝負でAIに負けます,ソシャゲのリーク踏んだ....,,銅鐸,doutaku.png,signum
,実験レポートRTA 世界記録,PS5の抽選当たります,このおみくじには、連続ログインボーナスというものが、ありません,狙った一般教養科目の抽選全部外れます,責任過多による緊張で眠れなくなります,,単位行列,tannigyouretsu.png,
,みwなwぎwっwてwきwたw,マークシート勘で全部当たります,グラボの相場が安くなります,睡眠不足で作業効率が低下します　寝ろ！,絶対いやだ！働きたくない！！怖い！社会が怖い！！,,知恵の輪,chienowa.png,signum
,エナドリ1年分プレゼント,ゴミ箱に投げたゴミが全部入る,かがくのちからってすげー！,長万部キャンパスに流刑,必修科目を取り忘れています,,龍角散(ブルーベリー),ryuukakusan2.png,
,【速報】実験レポートは撤廃すべき　政府が見解示す,あなたはMステに出ます,LETUSのメンテ入ってからが勝負だよ^^,【悲報】佐藤喜一郎先生の化学が復活！,次の半期は毎日1限ですよ,,1万円札,10000manyen.png,
,nつ葉のクローバーが見つかります,月・火・水・土・日・日・日,スマホの広告を間違えてタップする確率が低くなります,ゲームのカード落としちゃった！,Caug/F#,,wacomの液タブ,tablet.png,cay
,2chで立てたスレが伸びる,Adobe Flash Playerが復活,サグラダ・ファミリアの工期が縮みます,java.lang.NullPointerException,元気出そうぜ！！！！！！！！！！！！！！！！！！！！,,あ,a.png,signum
,消費税撤廃,明日起きたらマッチョになってます,生活リズムが安定します,あ，PCがクラッシュした！！,タッチペンのペン先が擦り切れます,,紅葉,momiji.png,
,蛇口からオレンジジュースが出てきます,飽きたゲームにハマりなおします,ハンドスピナーブーム再来,バナナの皮で滑ります,ｹﾃ...ﾀｽｹﾃ...,,LINEのアプリ,line.png,
,,,,なんか友達がずっと不協和音でハッもてくるんだけど！？,レイヤー間違えちゃったΣ(･ω･ﾉ)ﾉ！,,Twitterのアプリ,twitter.png,
,,,,,,,Instagramのアプリ,instagram.png,
,,,,,,,花札の束,hanafuda.png,
,,,,,,,トランプの束,trump.png,
,,,,,,,手首,hand.png,
,,,,,,,棒人間,bouningen.png,
,,,,,,,2150年のカレンダー,calendar.png,cay
,,,,,,,赤い宝玉,ball.png,
,,,,,,,お鍋食べよう！,nabe.png,
